"code","nom"
"370","Etablissement régional d'enseignement adapté / Lycée d'enseignement adapté"
"380","Maison familiale rurale d'éducation et d'orientation"
"390","Section d'enseignement général et professionnel adapté"
"400","Etablissement composé uniquement de STS et/ou de CPGE"
"410","Ecole de formation d'enseignants"
"420","Ecole d'administration publique"
"430","Ecole de formation sanitaire et sociale"
"440","Ecole technico-professionnelle des services"
"445","Ecole de commerce- gestion- comptabilité- vente"
"450","Ecole de formation artistique"
"455","Ecole d'architecture"
"470","Ecole de formation agricole ou halieutique"
"480","Ecole technico-professionnelle de production industrielle"
"490","Ecole juridique"
"499","Autre formation post-bac"
"500","Communauté d'universités et établissements"
"501","Grand corps savant"
"502","Etablissement sans formation diplômante"
"503","Ecole normale supérieure"
"504","Ecole francaise à l'étranger"
"505","Etablissement public d'enseignement supérieur"
"506","Centre régional associé au CNAM"
"507","Partie délocalisée d'un établissement de l'enseignement supérieur"
"509","Pôle universitaire européen"
"510","Pôle de recherche et d'enseignement supérieur"
"511","Organisme lié à la recherche"
"512","Composante d'un organisme de recherche"
"513","Laboratoire de recherche"
"515","Service inter-établissements d'information et d'orientation"
"516","Service inter-établissements de documentation"
"517","Service inter-établissements de médecine préventive"
"518","Service Inter-établissements de formation continue"
"519","Service inter-établissements d'activités physique et sportive"
"520","Service d'activité industrielle et commerciale universitaire"
"521","Service d'activité industrielle et commerciale inter-établissements"
"522","Autre service commun universitaire"
"523","Université"
"524","Institut national polytechnique"
"525","Service commun d'information et d'orientation"
"526","Service commun de documentation"
"527","Service commun de médecine préventive"
"528","Service commun de formation continue"
"529","Service commun d'activités physique et sportive"
"530","Antenne délocalisée d'une composante d'université"
"531","Service commun d'accueil des étrangers"
"532","Service commun de formation des formateurs"
"533","Service général"
"534","Service inter-établissements d'accueil des étrangers"
"535","Service inter-établissements de formation des formateurs"
"536","Antenne délocalisée de service commun d'université"
"537","Unité de formation et de recherche en santé"
"539","Unité de formation et de recherche (hors santé)"
"540","Composante d'université avec formation diplômante"
"541","Institut universitaire professionnalisé"
"542","Institut universitaire de technologie"
"543","Antenne délocalisée d'IUT"
"544","Institut d'administration des entreprises"
"545","Institut du travail"
"546","Institut de préparation à l'administration générale"
"547","Observatoire des sciences de l'univers"
"548","Composante d'université sans enseignement"
"549","Département de formation des enseignants (hors INSPE)"
"550","Centre universitaire de formation et de recherche"
"551","Université de technologie"
"553","Ecole d'ingénieurs"
"554","Institut d'études politiques"
"555","Centre de formation aux carrières des bibliothèques"
"556","Unité régionale de formation à l'information scientifique et technique"
"557","Institut de recherche sur l'enseignement des mathématiques"
"558","Institut universitaire de formation des maîtres"
"559","Antenne d'IUFM"
"560","Etablissement d'enseignement général supérieur privé"
"561","Antenne d'un établissement d'enseignement supérieur privé"
"562","Institut externe d'un institut catholique"
"568","Institut national supérieur du professorat et de l'éducation"
"569","Antenne d'Institut national supérieur du professorat et de l'éducation"
"579","Autre formation supérieure ancienne classification"
"580","Ecole d'ingénieurs publique (hors tutelle MESR) ou privée"
"600","Centre de formation d'apprentis- sous convention régionale"
"601","Centre de formation d'apprentis avec adaptation"
"602","Cours professionnel accord transformation"
"603","Cours professionnel accord simple"
"605","Organisme de formation - Centre de formation d'apprentis"
"610","Centre de formation d'apprentis- sous convention nationale"
"620","Antenne de centre de formation d'apprentis"
"625","Annexe d'un organisme de formation - Centre de formation d'apprentis"
"630","Section d'apprentissage"
"700","Etablissement de formation continue"
"710","GRETA"
"720","Centre d'enseignement à distance"
"730","Etablissement de formation aux métiers du sport"
"740","Centre de formation professionnelle et de promotion agricole"
"750","Centre de formation de la police"
"800","Administration centrale"
"801","Chancellerie des universités"
"802","Rectorat"
"803","Service rectoral"
"804","Vice-rectorat"
"805","Direction des services départementaux de l'éducation nationale"
"806","Service de la direction des services départementaux de l'éducation nationale"
"807","IDEN"
"808","IDEN"
"809","Circonscription d'inspection de l'éducation nationale"
"810","Direction régionale de la jeunesse- des sports et de la cohésion sociale"
"811","Direction départementale de la jeunesse et des sports"
"812","Centre d'animation sportive"
"813","Direction départementale de la cohésion sociale"
"814","Direction départementale de la cohésion sociale et de la protection de la population"
"815","Direction Régionale de l'Alimentation- de l'Agriculture et de la Forêt"
"816","Service départemental à la jeunesse- à l'engagement et aux sports"
"817","Délégation régionale académique à la jeunesse- à l'engagement et aux sports"
"819","Structure de la jeunesse et des sports"
"820","CEREQ"
"821","ONISEP"
"822","DRONISEP"
"823","Centre local de l'ONISEP"
"824","Réseau Canopé"
"825","Direction territoriale Canopé"
"826","Atelier Canopé"
"827","INRP"
"828","Centre international des études pédagogiques"
"829","Centre médico-social scolaire"
"830","GIP pour la formation continue et l'insertion professionnelle"
"835","Centre académique de scolarisation des nouveaux arrivants et enfants du voyage"
"840","Service académique d'information et d'orientation"
"841","Centre d'information et d'orientation"
"842","Groupe d'aide psycho-pédagogique"
"843","Maison départementale des personnes handicapées"
"844","Commission départementale de l'éducation spéciale"
"845","Commission de circonscription pré-scolaire et élémentaire"
"846","Commission de circonscription du second degré"
"847","Centre académique de formation continue"
"848","Institut national supérieur de formation pour l'enfance inadaptée"
"849","Centre national de formation des enseignants du second degré"
"851","Centre national des oeuvres universitaires et scolaires"
"852","Centre régional des oeuvres universitaires et scolaires"
"853","Centre local des oeuvres universitaires et scolaires"
"854","Résidence universitaire"
"855","Restaurant universitaire"
"856","Foyer d'hébergement d'éleves"
"857","Centre permanent de classe nature"
"860","Equipe mobile d'ouvriers professionnels"
"861","Service mutualisé centralisé"
"862","Service mutualisé"
"863","Groupement de commande groupée"
"864","Organisme de gestion de l'enseignement catholique"
"865","Service annexe dans un établissement public local d'enseignement"
"902","Ministère et service hors éducation"
"903","Service des affaires étrangères à l'étranger"
"904","Service de coopération à l'étranger"
"905","Cour ou chambre régionale des comptes"
"911","Chambre consulaire"
"914","Etablissement public hors éducation"
"916","Agence d'enseignement du français à l'étranger"
"921","Corps constitué"
"923","Assemblée parlementaire"
"931","Association ou fondation périscolaire"
"933","Mutuelle générale de l'éducation nationale"
"935","Association ou fondation"
"936","Syndicat professionnel"
"940","Entreprise industrielle ou commerciale"
"950","Métropole"
"951","Collectivité ou établissement public territorial"
"952","Mairie- établissement public intercommunal"
"953","Conseil départemental"
"954","région"
"955","Direction ou service de conseil général"
"956","Direction ou service de conseil régional"
"957","Collectivité territoriale unique"
"960","Bibliothèque"
"961","Musée"
"962","Bibliothèque municipale classée"
"963","Bibliothèque départementale de prêt"
"970","Organisme international"
"980","Centre hospitalo-universitaire"
"999","Sans objet"
